PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
HIP 41378 e,,0.492,
Kepler-957 b,,0.491,
KIC 10525077 b,,0.491,
KIC 10024862 b,,0.49,
Kepler-18 c,0.054,0.49,911.1
Kepler-33 d,0.01478,0.487547,861.5
Kepler-279 c,,0.48664,
Kepler-281 c,,0.4839,
KOI-2672.01,,0.482991,413
Kepler-677 b,,0.48,
EPIC 205071984 b,,0.48,
K2-108 b,0.187,0.471,
Kepler-747 b,,0.47,
Kepler-103 c,,0.46841,
Kepler-495 b,,0.467,
Kepler-841 b,,0.467,
Kepler-562 b,,0.465,
Kepler-25 c,,0.4598,959.7
Kepler-678 b,,0.459,
Kepler-1314 b,,0.456,
Kepler-818 b,,0.456,
Kepler-279 d,,0.45201,
HAT-P-11 b,0.081,0.452,790.9
Kepler-257 d,,0.45109,
K2-33 b,3.6,0.451,
KOI-89.01,,0.45,
Kepler-229 c,,0.44836,
Kepler-27 c,,0.44653,418.5
EPIC 201635569 b,,0.443,488
CoRoT-24 c,0.088,0.44,850
Kepler-1321 b,,0.439,
Kepler-210 c,,0.436,
CoRoT-22 b,0.0383853,0.435365216,885
Kepler-858 b,,0.434,
EPIC 201505350 c,0.05,0.434,
Kepler-712 c,,0.433,
Kepler-669 b,,0.431,
Kepler-1640 b,,0.43,
KOI-89.02,,0.43,
Kepler-318 b,,0.42922,
Kepler-1527 b,,0.426,
Kepler-502 b,,0.426,
Kepler-1000 b,,0.425,
Kepler-405 c,,0.42467,
Kepler-637 b,,0.424,
Kepler-222 c,,0.42284,
Kepler-667 b,,0.422,
Kepler-47 (AB) c,,0.42011066,245.3
Kepler-31 d,,0.41555,
Kepler-972 b,,0.415,
Kepler-867 b,,0.414,
Kepler-564 b,,0.413,
Kepler-553 b,,0.413,
KIC 9663113 b,,0.41,
Kepler-740 b,,0.408,
Kepler-33 f,0.03618,0.406441,697.5
Kepler-636 b,,0.397,
EPIC 201546283 b,0.09156,0.397,
Kepler-38 (AB) b,,0.39641678,
Kepler-413 b,0.210762,0.396143,
Kepler-550 b,,0.394,
Kepler-89 c,0.04907293,0.39368287,1012
Kepler-359 c,,0.39186,
Kepler-959 b,,0.391,
Kepler-230 b,,0.38822,
Kepler-501 b,,0.384,
Kepler-149 b,,0.38366,
Kepler-554 b,,0.383,
Kepler-11 e,0.025166,0.380925,596.4
EPIC 211391664 b,0.101,0.38,
Kepler-421 b,,0.379102,184
Kepler-315 c,,0.37819,
Gliese 436 b,0.0727,0.3767,650.3
KOI-142 b,0.0055264,0.37647,791
Kepler-584 b,,0.376,
Kepler-953 b,,0.376,
Kepler-82 b,,0.37455,
Kepler-610 b,,0.374,
Kepler-1326 b,,0.373,
Kepler-247 c,,0.37272,
Kepler-248 c,,0.3709,
Kepler-278 b,,0.3709,
Kepler-258 b,,0.36999,
Kepler-302 b,,0.36999,
Kepler-228 d,,0.36817,
Kepler-697 b,,0.368,
Kepler-966 b,,0.368,
Kepler-815 b,,0.367,
Kepler-33 e,0.02108,0.366343,759.5
KIC 8540376 b,,0.366,
Kepler-359 d,,0.36543,
Kepler-27 b,,0.364521,532.4
Kepler-473 b,,0.364,
Uranus,0.0457,0.362775,
Kepler-24 c,,0.36179,
Kepler-149 d,,0.36088,
Kepler-178 d,,0.35996,
Kepler-247 d,,0.35905,
Kepler-590 b,,0.359,
Kepler-547 b,,0.357,
Kepler-4 b,0.077,0.357,1474.7
KOI-806.03,0.035546,0.355,556.9
Kepler-266 c,,0.3545,
Kepler-79 c,,0.3545,
Kepler-368 c,,0.35359,
EPIC 201828749 b,,0.353,613
HIP 41378 d,,0.353,
Kepler-976 b,,0.353,
Kepler-1405 b,,0.353,
Kepler-254 b,,0.35267,
Neptune,0.053953,0.35221925,
HD 106315 c,0.063,0.352,
Kepler-552 b,,0.352,
Kepler-874 b,,0.352,
Kepler-1442 b,,0.351,
Kepler-229 d,,0.35085,
KOI-370.01,,0.35,
Kepler-232 c,,0.34903,
Kepler-293 c,,0.34903,
Kepler-1024 b,,0.349,
Gliese 3470 b,0.0432,0.346,
Kepler-23 c,,0.34447,
Kepler-315 b,,0.34356,
Kepler-154 d,,0.343,
EPIC 201577035 b,0.085,0.3426,
Kepler-210 b,,0.3419,
Kepler-1462 b,,0.341,
Kepler-595 b,,0.34,
Kepler-53 c,,0.33992,
Kepler-920 c,,0.339,
Kepler-146 b,,0.33809,
Kepler-803 b,,0.338,
Kepler-234 b,,0.33718,
Kepler-150 c,,0.33627,
Kepler-222 d,,0.33627,
Kepler-462 b,,0.336,
Kepler-318 c,,0.33536,
Kepler-36 c,0.02541726,0.33526835,927.8
Kepler-873 b,,0.335,
Kepler-715 b,,0.335,
EPIC 205071984 d,,0.335,
Kepler-871 b,,0.334,
Kepler-1065 b,,0.333,
Kepler-627 b,,0.333,
