PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
Kepler-369 b,,0.10298,
Kepler-250 b,,0.10298,
TRAPPIST-1 g,0.004215,0.102704,198.6
Kepler-381 c,,0.10207,
Kepler-285 c,,0.10207,
Kepler-384 b,,0.10207,
Kepler-334 b,,0.10207,
Kepler-1590 b,,0.102,
Kepler-1456 b,,0.102,
Kepler-804 c,,0.102,
Kepler-1263 b,,0.102,
EPIC 201505350 d,,0.102,
Kepler-806 b,,0.102,
Kepler-446 c,,0.101155,
Kepler-327 b,,0.10115,
Kepler-124 d,,0.10115,
Kepler-333 c,,0.10115,
Kepler-887 c,,0.101,
Kepler-1577 b,,0.101,
Kepler-59 b,0.003828,0.100243,
Kepler-32 e,,0.10024,
Kepler-374 c,,0.10024,
Kepler-392 c,,0.10024,
Kepler-756 b,,0.1,
Kepler-1288 b,,0.1,
Kepler-1358 b,,0.1,
Kepler-1164 b,,0.1,
Kepler-1082 b,,0.1,
Kepler-438 b,,0.1,
Kepler-332 c,,0.09933,
Kepler-212 b,,0.09933,
Kepler-249 b,,0.09933,
Kepler-115 b,,0.09933,
Kepler-186 f,,0.099027744,
Kepler-431 d,,0.099,
Kepler-929 b,,0.099,
Kepler-1531 b,,0.099,
Kepler-1117 b,,0.099,
Kepler-1084 b,,0.099,
Kepler-1434 b,,0.099,
Kepler-746 b,,0.099,
TRAPPIST-1 b,0.002674,0.098967,400.1
Kepler-1406 b,,0.098,
Kepler-1427 b,,0.098,
Kepler-107 d,,0.09751,
Kepler-376 b,,0.09751,
Kepler-26 d,,0.09751,
Kepler-186 c,,0.097509,
Kepler-186 b,,0.097509,
Kepler-407 b,,0.097509,
Kepler-889 b,,0.097,
Kepler-1157 b,,0.097,
Kepler-1561 b,,0.097,
Kepler-1589 b,,0.097,
Kepler-316 b,,0.0966,
K2-35 b,,0.0964,
TRAPPIST-1 c,0.004341,0.096234,341.9
Kepler-1605 b,,0.096,
Kepler-163 b,,0.09569,
TRAPPIST-1 f,0.002139,0.095231,219
Kepler-1597 b,,0.095,
Kepler-1203 b,,0.095,
Kepler-1423 b,,0.095,
Kepler-1594 b,,0.095,
Kepler-1570 b,,0.095,
Kepler-520 c,,0.095,
Kepler-1178 b,,0.095,
Kepler-1200 b,,0.095,
Kepler-1470 b,,0.095,
Kepler-1376 b,,0.094,
Kepler-1331 b,,0.094,
Kepler-625 c,,0.094,
Kepler-327 c,,0.09386,
Kepler-395 b,,0.09386,
Kepler-374 b,,0.09386,
Kepler-387 b,,0.09386,
Kepler-1578 b,,0.093,
Kepler-20 f,,0.093,706
Kepler-1576 b,,0.093,
Kepler-1409 b,,0.093,
Kepler-130 b,,0.09295,
Kepler-197 b,,0.09295,
Kepler-336 b,,0.09295,
Kepler-398 c,,0.09204,
Kepler-282 b,,0.09204,
Kepler-322 b,,0.09204,
Kepler-1612 b,,0.092,
Kepler-1398 c,,0.092,
Kepler-1163 b,,0.092,
Kepler-1347 b,,0.092,
Earth,0.003145701,0.091130294,
Kepler-271 c,,0.09113,
Kepler-392 b,,0.09113,
Kepler-1616 b,,0.091,
Kepler-192 d,,0.091,
Kepler-1150 b,,0.091,
Kepler-381 b,,0.09022,
Kepler-1482 b,,0.09,
Kepler-1081 b,,0.09,
Kepler-1278 b,,0.09,
Kepler-220 d,,0.08931,
Kepler-1417 b,,0.089,
Kepler-1464 c,,0.089,
Kepler-969 c,,0.088,
Kepler-1047 c,,0.088,
Kepler-399 b,,0.08749,
Kepler-1053 b,,0.087,
Kepler-1293 b,,0.087,
Kepler-1328 b,,0.087,
Kepler-1285 b,,0.087,
Kepler-1443 b,,0.087,
Kepler-1297 b,,0.087,
Kepler-106 d,,0.086574,
Venus,0.00256374,0.08656491,
Kepler-1445 b,,0.086,
Kepler-524 c,,0.086,
Kepler-1049 b,,0.085,
Kepler-1598 b,,0.085,
Kepler-68 c,0.015,0.085,
Kepler-398 b,,0.08475,
Kepler-1438 b,,0.084,
Kepler-1169 b,,0.084,
Kepler-1425 b,,0.084,
Kepler-1572 b,,0.084,
Kepler-119 c,,0.08384,
Alpha Centauri B c,,0.08384,
TRAPPIST-1 e,0.00195,0.083658,251.3
Kepler-1421 b,,0.083,
Kepler-1505 b,,0.083,
Kepler-1387 b,,0.083,
Kepler-197 e,,0.08293,
Kepler-1365 b,,0.082,
Kepler-1367 b,,0.082,
Kepler-779 b,,0.082,
Kepler-1338 b,,0.082,
Kepler-1607 b,,0.082,
Kepler-387 c,,0.08111,
Kepler-303 b,,0.08111,
Kepler-271 b,,0.08111,
Kepler-353 b,,0.08111,
Kepler-1296 b,,0.081,
Kepler-1525 b,,0.081,
Kepler-102 f,,0.080195,
Kepler-362 b,,0.08019,
Kepler-1398 b,,0.08,
Kepler-1547 b,,0.08,
Kepler-20 e,,0.0791,1040
Kepler-1027 b,,0.079,
Kepler-398 d,,0.079,
Kepler-342 e,,0.079,
Kepler-1637 b,,0.079,
Kepler-1416 b,,0.079,
Kepler-780 b,,0.079,
Kepler-1408 b,,0.079,
Kepler-1352 b,,0.079,
Kepler-1560 b,,0.079,
Kepler-1173 b,,0.079,
Kepler-352 b,,0.07837,
Kepler-388 c,,0.07837,
Kepler-1152 b,,0.078,
Kepler-607 b,,0.078,
Kepler-1031 b,,0.078,
Kepler-1542 d,,0.078,
KOI-55 c,0.0021,0.078,6319.1
Kepler-406 c,0.008525,0.077461,
Kepler-1435 b,,0.077,
Kepler-605 c,,0.077,
Kepler-1258 b,,0.077,
Kepler-1361 b,,0.077,
Kepler-131 c,0.025952,0.076549,
Kepler-1385 b,,0.076,
Kepler-314 b,,0.07564,
Kepler-1579 b,,0.075,
Kepler-1507 b,,0.075,
Kepler-390 b,,0.07473,
Kepler-106 b,,0.074727,
Kepler-450 d,,0.0747,
Kepler-1412 b,,0.074,
Kepler-220 b,,0.07382,
Kepler-388 b,,0.07382,
Kepler-910 b,,0.073,
Kepler-1141 b,,0.073,
Kepler-1446 b,,0.073,
KOI-1612.01,,0.073,
Kepler-1601 b,,0.073,
Kepler-32 f,,0.0729,
Kepler-1611 b,,0.072,
Kepler-390 c,,0.07199,
Kepler-42 b,,0.07108,
KOI-1843.02,,0.071,
Kepler-1365 c,,0.071,
Kepler-1395 b,,0.071,
Kepler-1067 b,,0.071,
Kepler-1393 b,,0.071,
Kepler-1130 b,,0.071,
Kepler-1581 b,,0.071,
Kepler-1076 b,,0.071,
TRAPPIST-1 d,0.00129,0.070353,288
Kepler-783 b,,0.07,
Kepler-1235 b,,0.07,
Kepler-1566 b,,0.07,
Kepler-653 c,,0.07,
Kepler-1222 b,,0.07,
Kepler-1629 b,,0.069,
TRAPPIST-1 h,,0.068803,168
Kepler-378 b,,0.06835,
Kepler-431 b,,0.0682,
Kepler-1402 b,,0.068,
Kepler-1588 b,,0.068,
Kepler-1619 b,,0.068,
Kepler-1542 b,,0.068,
Kepler-1542 e,,0.068,
KOI-55 b,0.0014,0.068,7112
Kepler-444 f,,0.067528,
Kepler-345 b,,0.06744,
Kepler-125 c,,0.06744,
Kepler-1563 b,,0.067,
Kepler-124 b,,0.06653,
Kepler-42 c,,0.0665,
Kepler-37 c,,0.0662,
Kepler-1371 b,,0.065,
Kepler-1559 b,,0.064,
Kepler-378 c,,0.06379,
Kepler-1339 b,,0.063,
Kepler-141 b,,0.06288,
Kepler-1349 b,,0.062,
Kepler-1558 b,,0.061,
Gliese 436 c,0.000880796,0.06014599,813.5
Kepler-431 c,,0.0596,
Kepler-271 d,,0.059,
Kepler-1351 b,,0.058,
Kepler-1542 c,,0.058,
Kepler-1371 c,,0.057,
KOI-1843.03,0.0014,0.054,
Kepler-1583 b,,0.054,
Kepler-1087 b,,0.054,
Kepler-102 c,,0.052856,
Kepler-42 d,,0.0519,
Kepler-444 e,,0.049757,
Kepler-62 c,,0.049210359,578
Mars,0.000337995,0.048489079,
Kepler-444 d,,0.048299,
Kepler-138 b,0.000208,0.04757,
Kepler-1308 b,,0.046,
Kepler-444 c,,0.045292,
Kepler-102 b,,0.042831,
Kepler-444 b,,0.036726,
Mercury,0.000173874,0.034901518,
Kepler-37 b,0.00875,0.027,5417
Pluto,7.76E-06,0.0164379,
KOI-115.03,,0.0023,
HD 143761 b,1.045,,
HD 143761 c,0.079,,
GJ 160.2 b,0.0321,,
HD 240210 b,5.21,,
OGLE-05-390L b,0.017,,
HD 4203 b,1.82,,263.9
HD 4203 c,2.17,,
HD 179079 b,0.08,,925
HD 187123 b,0.5074,,
HD 187123 c,1.818,,
HD 114729 A b,0.84,,
HD 164595 b,0.051,,
38 Vir b,4.51,,
HIP 11952 b,2.93,,372.6
HIP 11952 c,0.78,,1263.2
HD 122430 b,3.71,,868.8
Gliese 86 b,3.91,,
HD 145377 b,5.76,,
HD 75289 A b,0.42,,
HD 5608 b,1.4,,
HD 68988 b,1.9,,1017.7
HD 183263 b,3.635,,
HD 183263 c,6.9,,
HD 154672 b,5.02,,357.1
beta Ursae Minoris b,6.1,,
HD 2952 b,1.6,,
KOI-1299 c,2.43,,
Rho Coronae Borealis b,169.7,,
Gliese 3634 b,0.022,,565.4
HD 156279 b,9.71,,327.8
HD 12661 b,2.3,,291.4
HD 12661 c,1.57,,167.5
HD 128311 b,1.83,,177.7
HD 128311 c,3.2,,140.7
HD 72892 b,5.45,,
WASP-138 b,1.22,,
HD 175167 b,7.8,,154
Kepler-94 c,9.83346,,
TYC 3667-1280-1 b,5.4,,
HD 202206 b,17.4,,277.6
HD 202206 c,2.44,,159.6
HD 131664 b,85.2,,
OGLE-2015-BLG-0954L b,4.4,,
HD 9174 b,1.11,,
HD 66428 b,3.194,,
Gliese 3293 b,0.076,,
Gliese 3293 d,0.07,,
Gliese 3293 c,0.027,,
HD 27631 b,1.45,,137.7
CHXR 73 b,12,,
KMT-2015-1 b,2.2,,
OGLE-2012-BLG-0950L b,0.11,,
NY Virginis (AB) b,2.3,,
HD 219077 b,10.39,,124.9
HW Vir (AB) b,14.3,,
HD 215152 b,0.0087,,704.7
HD 215152 c,0.0097,,615.3
18 Del b,10.3,,
HD 210702 b,1.9,,
HD 165155 b,2.89,,
HD 210277 b,1.23,,240.3
HIP 67537 b,11.1,,
Gliese 15 A b,0.01683,,
HD 330075 b,0.62,,1023.2
Kepler-25 d,0.282798,,
HD 102956 b,0.96,,1642.2
BD+49 828 b,1.6,,
HD 66141 b,6,,801.4
HD 176051 b,1.5,,
2MASS 0122-2439 B,,,
HD 9446 b,0.7,,586.1
HD 9446 c,1.82,,315.8
HD 125612 b,3,,224.5
HD 125612 c,0.058,,1186
HD 125612 d,7.2,,129.4
HR 810 b,2.26,,373.3
HD 4732 b,2.37,,
HD 4732 c,2.37,,
HD 1666 b,6.43,,
HD 10442 b,2.1,,
HD 68402 b,3.07,,
CFBDS 1458 b,6.5,,
MOA-2007-BLG-400-L b,0.9,,104.6
HD 1461 b,0.0239,,1054.8
HD 1461 c,0.0186,,795.9
BD-08 2823 b,0.045,,
BD-08 2823 c,0.33,,
Gliese 876 b,2.6697,,
Gliese 876 c,0.8429,,
Gliese 876 d,0.0217,,
Gliese 876 e,0.05399,,
HD 117618 b,0.178,,664.2
HD 117618.02,0.2,,
GJ 682 b,0.014,,
GJ 682 c,0.027,,
HD 154857 b,2.24,,336
HD 154857 c,2.58,,
HD 6718 b,1.56,,135.5
VHS 1256-1257 b,11.2,,880
Kapteyn b,0.015099,,
Kapteyn c,0.02202,,
MOA-2008-BLG-379L b,4.1,,
HIP 65891 b,6,,
HD 63454 b,0.38,,926.7
HD 4113 b,1.56,,218.9
83 Leonis B b,0.087,,
83 Leonis B c,0.36,,
HIP 5158 b,1.44,,168.8
HIP 5158 c,15.04,,
MOA-2010-BLG-353L b,0.23,,
HD 173416 b,2.7,,702.5
Kepler-454 c,4.46,,
Kepler-454 d,,,
HD 13189 b,14,,442.7
KOI-372 c,0.3194,,
FU Tau B,15,,2375
ROXs 42 B b,10,,
HD 73534 b,1.15,,200.2
HD 178911 B b,6.292,,469.8
HD 65216 b,1.21,,193.9
HD 65216 c,2.24,,
DP Leo b,6.05,,
HD 216435 b,1.26,,224.7
HD 11964 A b,0.622,,
HD 11964 A c,0.079,,
Gamma Leonis b,8.78,,
HD 27894 b,0.62,,548.8
HD 129445 b,1.6,,151.1
HD 33283 b,0.33,,695.7
HD 30669 b,0.47,,
Gliese 221 b,0.13,,
Gliese 221 c,0.0196,,
HD 181720 b,0.37,,225
HD 16417 b,0.069,,875.5
HD 69830 b,0.033,,801.2
HD 69830 c,0.038,,520.3
HD 69830 d,0.058,,282.9
HD 23596 b,8.1,,220
Gliese 433 b,0.0167,,416.2
Gliese 433 c,0.1416,,
HD 67087 b,3.06,,
HD 67087 c,4.85,,
HD 43691 b,2.49,,762.5
HD 46375 A b,0.249,,1132
HD 147018 b,2.12,,481.2
HD 147018 c,6.56,,171.9
EPIC 204129699 b,1.774,,
HD 136418 b,2,,357.4
HD 98219 b,1.8,,419.8
HD 25171 b,0.95,,169.7
HD 109271 b,0.054,,1076
HD 109271 c,0.076,,684.9
MOA-2010-BLG-477L b,1.5,,120.7
HD 180314 b,22,,553.4
HD 217107 b,1.4135,,
HD 217107 c,4.513,,
FW Tau b,10,,
HD 153950 b,2.73,,
HD 204941 b,0.266,,117.2
11 Com b,19.4,,
HD 96167 b,0.68,,293.2
NGC 4349 No 127 b,19.8,,599.9
HD 101930 b,0.3,,385.4
LkCa 15 b,6,,
HD 13808 b,0.0325,,617.8
HD 13808 c,0.036,,391.9
HD 175607 b,0.0283,,
HD 175607 c,0.11,,
HIP 63242 b,9.18,,
HD 113337 b,2.83,,
HD 142245 b,1.9,,292.8
iota Draconis b,8.82,,598.2
HD 113538 b,0.36,,
HD 113538 c,0.93,,
HD 102117 b,0.172,,719.6
HIP 74890 b,2.4,,
HD 166724 b,3.53,,
HD 147513 A b,1.21,,
HD 89307 b,2,,146.5
HIP 68468 b,0.011,,
HIP 68468 c,0.094,,
HD 114762 b,10.98,,486.8
HD 33142 b,1.3,,442.1
2M 1938+4603 b,1.9,,
HD 45364 b,0.1872,,273.1
HD 45364 c,0.6579,,238.3
BD-10 3166 b,0.408,,
omi CrB b,1.5,,
TAP 26 b,1.73,,
HD 984 b,65,,2730
HD 219134 c,0.011,,
HD 219134 d,0.028,,
HD 219134 e,0.067,,
HD 219134 f,0.034,,
HD 219134 g,0.34,,
61 Vir b,0.016,,
61 Vir c,0.0573,,
61 Vir d,0.0721,,
HD 205739 b,1.37,,330.2
HD 137388 b,0.223,,219.9
HD 102195 b,0.45,,963.1
NN Ser (AB) c,6.96,,
NN Ser (AB) d,1.74,,
6 Lyn b,2.21,,
HD 217786 b,13,,
Kepler-539 c,,,
HD 23079 b,2.5,,223.8
WASP-94 B b,0.618,,
HD 41004 A b,2.54,,174.8
HD 62509 b,2.9,,482.6
WASP-41 c,3.18,,
HD 20794 b,0.0084933,,661
HD 20794 c,0.00754968,,508.9
HD 20794 d,0.015099,,388.2
HD 162020 b,14.4,,656.4
HD 31253 b,0.5,,
HD 43197 b,0.6,,239.6
HD 171028 b,1.98,,296.2
HD 1605 b,0.96,,
HD 1605 c,3.48,,
HD 40307 b,0.01258,,804.5
HD 40307 c,0.020761624,,617.1
HD 40307 d,0.029884156,,479.9
HD 40307 e,0.0110099,,401.2
HD 40307 f,0.01635764,,351.1
HD 40307 g,0.02233447,,224
HD 45184 b,0.04,,1045.8
CFBDSIR2149,5.5,,
HD 11506 b,4.21,,200.7
HD 11506 c,0.36,,388
OGLE-2012-BLG-0358L b,1.85,,
HD 221287 b,3.09,,259
tau Boo A b,6.13,,2000
HIP 13044 b,1.25,,2011
HD 45652 b,0.47,,472.4
OGLE235-MOA53 b,2.6,,
HD 107148 b,0.21,,537.4
HD 22781 b,13.65,,167
HD 1502 b,3.1,,412.3
HD 175541 b,0.61,,428.3
OGLE-2013-BLG-0341L B b,0.005222,,
42 Dra b,3.88,,
HD 99109 b,0.502,,231.3
HD 136352 b,0.0166,,842.3
HD 136352 c,0.0358,,630.8
HD 136352 d,0.03,,397.3
HD 86226 b,0.92,,154
GJ 3138 b,0.0132,,
GJ 3138 c,0.0056,,
GJ 3138 d,0.033,,
HD 125595 b,0.042,,584.9
Kepler-424 c,6.97,,
Oph 11 B,21,,2478
HD 39392 b,13.2,,
HD 221585 b,1.61,,
Gliese 163 b,0.033344,,
Gliese 163 c,0.021391,,302
Gliese 163 d,0.092484,,
HD 188015 A b,1.26,,
HD 108341 b,3.5,,
OGLE-2013-BLG-1761L b,2.8,,
HD 88133 b,0.22,,1550.6
HD 102329 b,5.9,,376
alf Tau b,6.47,,
HIP 91258 b,1.068,,
HD 95127 b,5.01,,
HD 102365 b,0.05,,355.1
HD 216770 b,0.65,,338.2
HD 106515 A b,9.61,,
Wolf 1061 b,0.00428,,
Wolf 1061 c,0.0134,,
Wolf 1061 d,0.0164,,
HD 12648 b,2.9,,
HD 134060 b,0.0351,,1336
HD 134060 c,0.1507,,182.8
HD 196067 b,6.9,,177.2
HD 149143 b,1.36,,1389.4
HD 85390 b,0.132,,166.3
HD 5891 b,7.6,,731.8
HD 100655 b,1.7,,749.4
HIP 70849 b,9,,
HD 37124 b,0.675,,306.6
HD 37124 c,0.652,,171.1
HD 37124 d,0.696,,133.5
HIP 107773 b,1.98,,
HD 93385 b,0.0263,,851.8
HD 93385 c,0.0318,,560.1
HD 155233 b,2,,
KELT-6 c,3.71,,
XO-2S b,0.259,,
XO-2S c,1.37,,
XO-2N c,,,
HD 33844 b,1.92,,
HD 33844 c,1.68,,
HD 11977 b,6.5,,
Kepler-46 c,0.376,,455
HD 218566 b,0.21,,
HD 13908 b,0.865,,
HD 13908 c,5.13,,
SAND364 b,1.54,,
HD 72659 b,3.15,,139.5
HIP 67851 b,1.38,,
HIP 67851 c,5.98,,
HD 24064 b,9.4,,
GJ 27.1 b,0.0409,,
UScoCTIO 108 b,14,,2350
eps Eridani b,0.645,,
HD 102272 b,5.9,,877.6
HD 102272 c,2.6,,530.8
HD 81688 b,2.7,,
HD 5583 b,5.78,,
HD 98649 b,6.8,,
HD 10180 b,0.004089411,,1915.3
HD 10180 c,0.0408941,,1128.3
HD 10180 i,0.00597683,,950
HD 10180 d,0.03743383,,796.3
HD 10180 e,0.078642,,549.9
HD 10180 j,0.01604307,,497.2
HD 10180 f,0.0717219,,406.5
HD 10180 g,0.06920541,,239
HD 10180 h,0.206987,,154.9
HD 152581 b,1.5,,408.1
HD 20868 b,1.99,,
CoRoT-7 c,0.0264,,1018.8
HD 73267 b,3.06,,
HD 106906 b,11,,1800
HAT-P-13 c,14.5,,276.2
HIP 8541 b,5.59,,
MOA-2012-BLG-311 b,0.208,,
HD 118203 b,2.13,,1408.2
MOA-2009-BLG-319 b,0.157,,
HIP 97233 b,20,,
OGLE-2014-BLG-0676L,3.09,,
HD 92788 b,3.86,,245.9
Pr0211 b,1.88,,
Pr0211 c,7.95,,
HD 139357 b,9.76,,
HD 285507 b,0.917,,
mu Leo b,2.4,,
Gliese 179 b,0.82,,
HD 110014 b,10.7,,
HD 110014 c,3.1,,
alf Ari b,1.8,,
HIP 78530 b,24,,2700
HIP 11915 b,0.99,,
OGLE-05-071L b,3.5,,
HD 74156 b,1.778,,
HD 74156 c,7.997,,
HD 70573 b,6.1,,167.4
HD 179949 b,0.95,,1419.4
Kepler-419 c,7.3,,
HD 142022 A b,5.1,,112.3
HD 50554 b,5.16,,173.7
OGLE-2008-BLG-092L b,0.12347045,,
HD 33564 b,9.1,,273.5
HD 41248 b,0.03869211,,
HD 41248 c,0.02705302,,
HD 38529 A b,0.78,,
HD 38529 A c,17.7,,
HD 16175 b,4.4,,243.7
MOA-2011-BLG-293L b,4.8,,112.1
30 Ari B b,6.6,,
beta Cancri b,7.8,,
HD 104067 b,0.186,,363.2
HD 28185 b,5.7,,241.6
HD 108147 b,0.261,,907.7
HD 111232 b,6.8,,163.3
HD 38283 b,0.34,,309.9
BD+20 1790 b,6.37,,
HD 39091 b,10.3,,202.4
UZ For (AB) d,7.7,,127.9
HD 141399 b,0.46,,
HD 141399 c,1.36,,
HD 141399 d,1.22,,
HD 141399 e,0.69,,
HD 208527 b,9.9,,877.3
HD 11755 b,6.5,,
HD 192263 b,0.733,,484.5
HD 19994 A b,1.68,,
EPIC 201637175 b,,,
HAT-P-17 c,1.4,,127.5
HD 169830 b,2.94,,413.9
HD 169830 c,4.04,,196.1
BD-17 63 b,5.1,,
HD 42618 b,0.0453,,
HD 168443 b,7.659,,549
HD 168443 c,17.193,,179.3
Kepler-48 e,2.066725,,
Kappa And b,50,,2040
SR 12 C,13,,
HD 290327 b,2.54,,132.1
Psi-1 Draconis B b,1.53,,
HD 87883 b,1.78,,
HD 95872 b,4.6,,
HD 164604 b,2.7,,157.4
HD 103774 b,0.367,,1310.9
GJ 422 b,0.031,,
HD 133131 A b,1.43,,
HD 133131 A c,0.48,,
HD 133131 B b,2.5,,
HD 132406 b,5.61,,209
OGLE-2011-BLG-0265L b,1,,
HD 38858 b,0.0961,,237.2
HD 100546 c,,,
HD 3651 b,0.2,,405
HD 3651.02,0.09,,
OGLE-2011-BLG-0251 b,0.53,,
HD 4308 b,0.0405,,685.9
PSR J1719-1438 b,1.21,,
HD 81040 b,6.86,,164.2
HD 215497 b,0.02,,984.3
HD 215497 c,0.33,,185.8
HD 170469 b,0.67,,188.9
HD 32963 b,0.7,,
HD 159243 b,1.13,,
HD 159243 c,1.9,,
MOA-2011-BLG-322 b,7.8,,
nu Oph b,24,,
nu Oph c,27,,
HD 155358 b,0.85,,377.6
HD 155358 c,0.82,,299.1
47 UMa b,2.53,,
47 UMa c,0.54,,
47 UMa d,1.64,,
HD 6434 b,0.44,,
GJ 180 b,0.026,,
GJ 180 c,0.02,,
HD 103720 b,0.62,,
HD 150706 b,2.71,,
HD 220689 b,1.06,,149.6
7 CMa b,2.46,,
HD 131399 Ab,4,,850
HD 70642 b,2,,126.1
BD+20 274 b,4.2,,
HD 114386 b,1.24,,182.8
HD 114386 c,1.19,,
RR Cae (AB) b,4.2,,
HD 76700 b,0.197,,1315.4
HD 114783 b,1,,181.4
HD 73256 b,1.87,,1204.5
kappa CrB b,1.6,,
HD 191806 b,8.52,,
BD+48 738 b,0.91,,
HD 180902 b,1.6,,380.7
KIC 7917485 b,11.8,,
HD 83443 b,0.4,,1218.5
HD 121504 b,1.22,,502.8
1SWASP J1407 b,14,,
HD 156411 b,0.74,,278
PSR B1620-26 b,1.7,,
HD 190647 b,1.9,,209.5
Gliese 667 C b,0.017616,,
Gliese 667 C h,0.00346,,
Gliese 667 C c,0.011954,,
Gliese 667 C f,0.008493,,
Gliese 667 C e,0.008493,,
Gliese 667 C d,0.016043,,
Gliese 667 C g,0.01447,,
HIP 79431 b,2.1,,146.8
HD 50499 b,1.71,,155.1
HD 150433 b,0.168,,182.8
HD 128356 b,0.89,,
YBP401 b,0.46,,
Gliese 832 b,0.688908,,
Gliese 832 c,0.015729,,
HD 20782 b,1.43,,
HD 20781 b,0.037882,,
HD 20781 c,0.049649,,
HD 109749 A b,0.28,,1161.9
MOA-2008-BLG-310-L b,0.23,,152.7
HD 103197 b,0.098,,409.7
GJ 229 b,0.101,,
Proxima Centauri b,0.004089,,234
Alpha Centauri B b,0.00356,,
Lalande 21185 b,0.012,,
HD 233604 b,6.575,,
HAT-P-46 c,2,,
16 Cygni B b,1.77,,
HD 82886 b,1.3,,382.7
8 Ursae Minoris b,1.5,,
DH Tau B,12,,2750
HD 141937 b,9.7,,215.8
HD 45350 b,1.79,,197
HD 168746 b,0.23,,1026.4
HD 120084 b,4.5,,
HD 220074 b,11.1,,965.5
11 UMi b,11.2,,
HD 240237 b,5.3,,
70 Vir b,7.4,,479.1
HD 31527 b,0.0363,,770.9
HD 31527 c,0.0498,,528.8
HD 31527 d,0.0519,,299.2
HD 163296 b,0.3,,
HD 163296 c,0.3,,
HD 23127 b,1.5,,205.3
HD 21693 b,0.0322,,581.9
HD 21693 c,0.06472,,436.2
OGLE-2012-BLG-0026L b,0.145,,
OGLE-2012-BLG-0026L c,0.86,,
KIC 9413313 b,,,
GSC 06214-00210 b,17,,1700
OGLE-BLG-1195L b,0.016,,
HD 99706 b,1.4,,342.5
HD 86950,3.6,,
Kepler-37 e,,,
HD 48265 b,1.16,,291.4
Kepler-97 c,,,
BD+15 2940 b,1.11,,
Kepler-56 d,3.3,,
YBP1514 b,0.4,,
BD+14 4559 b,1.47,,
HD 181433 b,0.0238,,660.5
HD 181433 c,0.64,,141.6
HD 181433 d,0.54,,107.3
WASP-81 c,56.6,,
HD 164922 b,0.36,,155
HD 171238 b,2.6,,152.4
HD 215456 b,0.101,,407.7
HD 215456 c,0.246,,178.5
HD 13931 b,1.88,,
HD 104985 b,8.3,,
HD 49674 b,0.115,,969.8
MOA-2009-BLG-266L b,0.0327,,
HD 86264 b,7,,214.2
HD 206610 b,2.2,,408.1
HD 163607 b,0.77,,499.8
HD 163607 c,2.29,,200.4
HD 142 A b,1.25,,249.8
HD 142 A c,5.3,,
HD 75898 b,2.51,,307.6
MOA-2007-BLG-192-L b,0.01,,
55 Cnc b,0.8306,,
55 Cnc c,0.1714,,
55 Cnc d,3.878,,
55 Cnc f,0.141,,
OGLE-2003-BLG-235L b,2.6,,
omi UMa b,4.1,,
OGLE-2013-BLG-0102LB,13,,
NGC 2423 3 b,10.6,,417.4
Kepler-407 c,12.582803,,
Kepler-93 c,,,
OGLE-2015-BLG-0563L b,0.39,,
OGLE-2015-BLG-0051L b,0.72,,
HU Aqr (AB) b,4.758,,
HU Aqr (AB) c,20.2,,
HU Aqr (AB) d,80,,
HD 77338 b,0.0487583,,896.4
HD 126614 A b,0.38,,
14 Her b,4.975,,
14 Her c,7.679,,
tau Gem b,20.6,,
Pr0201 b,0.54,,
24 Sex b,1.99,,
24 Sex c,0.86,,
HD 5319 b,1.76,,303.8
HD 5319 c,1.15,,
HD 93083 b,0.37,,292.3
HD 7924 b,0.029,,825.9
HD 7924 c,0.0247,,583.6
HD 7924 d,0.0203,,499
91 Aquarii A b,3.2,,
HD 82943 b,1.75,,250.5
HD 82943 c,2.01,,314.7
HD 143361 b,3.12,,161
HIP 12961 b,0.35,,393
HD 130322 b,1.02,,721.7
HD 212771 b,2.3,,456.8
HD 4208 b,0.8,,173.7
HD 79498 b,1.34,,149.6
HD 90156 b,0.057,,621.4
HD 20003 b,0.0378,,751.7
HD 20003 c,0.0422,,534.5
HD 131496 b,2.2,,321.8
HD 100777 b,1.16,,259.7
HD 154345 b,1,,106.4
HD 96127 b,4,,
HD 75784 b,1.15,,
OGLE-2013-BLG-0723LB b,0.0022,,
51 Peg b,0.46,,1260.3
Upsilon Andromedae A b,1.78,,1440.1
Upsilon Andromedae A c,10.78,,375.6
Upsilon Andromedae A d,8.86,,218
Upsilon Andromedae A e,1.059,,150.6
HD 187085 b,0.75,,215.5
HD 231701 b,1.08,,436.6
HD 96063 b,0.9,,481.5
Gliese 328 b,2.3,,
YBP1194 b,0.34,,
HD 147873 b,5.14,,
HD 147873 c,2.3,,
MOA-2011-BLG-262Lb,0.057,,
HD 60532 b,3.15,,497.4
HD 60532 c,7.46,,348.9
ROXs 12 b,16,,
HD 89744 A b,7.2,,
BD+20 2457 b,21.42,,
BD+20 2457 c,12.47,,
MOA-2009-BLG-387L b,2.6,,
OGLE-06-109L b,0.727,,
OGLE-06-109L c,0.271,,
MOA-2011-BLG-028L b,0.094,,
Gliese 687 b,0.058,,
HD 9578 b,0.62,,
HD 44219 b,0.58,,260.2
OGLE-2012-BLG-0406L b,3.9,,
14 And b,4.8,,
GU Psc b,11,,1050
MOA-2010-BLG-073L b,11,,
HD 216437 b,1.82,,170.2
HD 192699 b,2.4,,
